team,dynamic_elo,form_10,attack_20,defense_20,conf_strength,is_2026_host
Madrid,1492.4675093326152,0.0,1.0,2.0,0.85,0
Quebec,1519.7666007532744,1.7947212643999333,7.309476693070314,0.6993903946442727,0.85,0
Saugeais,1498.425514013571,1.0,1.0,1.0,0.85,0
South Ossetia,1479.2466410757413,1.5665459123095256,1.7367001312416195,1.9625163580638574,0.85,0
Ellan Vannin,1562.2760615371446,1.642723513953463,1.8529446014286426,1.4439735305955754,0.85,0
Somaliland,1482.2815567969722,1.2542005162970837,2.531642113221635,3.354865793867975,0.85,0
Franconia,1482.3461017353454,2.01320123313328,2.6711000258666107,3.696065375244314,0.85,0
County of Nice,1584.1227962880264,2.0218059321411634,2.1687666216849864,1.5316531067729957,0.85,0
Seborga,1488.9139645907553,0.0,2.0,3.0,0.85,0
Székely Land,1483.6371765886906,1.3936970277353187,2.368352771400249,2.0202585604165506,0.85,0
Luhansk PR,1487.0617130616142,1.3017418216214245,1.5967370869911381,2.0814249476654876,0.85,0
Donetsk PR,1506.1340748906202,1.5915364363591833,1.3790557637764045,1.1100787259223246,0.85,0
Felvidék,1504.6310982296238,1.5009027112571505,1.081186706163458,1.4404169232246482,0.85,0
Panjab,1551.5864798735035,1.4507837828617802,3.0346018426713015,1.5477213354754924,0.85,0
United Koreans in Japan,1496.8986541776771,1.193373195144217,1.6966704682930756,0.8791631901388368,0.85,0
Western Armenia,1493.5163741415256,1.1196322761845017,1.8803744829841393,1.2291553268689677,0.85,0
Délvidék,1496.9248405410895,1.3504980080625664,1.9500416250421202,1.5249791874789398,0.85,0
Kárpátalja,1588.3039883068625,2.11157526390084,2.371631943519115,1.1114727061525418,0.85,0
Barawa,1416.8954174559856,0.5759817858282412,1.0757719468566014,4.136670759984563,0.85,0
Ryūkyū,1483.4458226080876,0.0,0.0,9.0,0.85,0
Yorkshire,1553.3647210656322,2.4589316841563527,3.807853845054065,1.5984136335352104,0.85,0
Surrey,1510.1140620422634,3.0,3.0,1.0,0.85,0
Kabylia,1461.9165712603697,0.9275682386491357,1.526753291464265,2.2610882682954805,0.85,0
Matabeleland,1491.4310008212683,1.4367732801281976,0.8261389339300034,1.4082161345093824,0.85,0
Cascadia,1536.2440302844464,1.9924898923979721,3.4997875541502945,2.0299896392177006,0.85,0
Parishes of Jersey,1513.718178888998,2.01320123313328,3.9057078207097837,1.3671654011109255,0.85,0
Chameria,1529.0437917801487,1.6049883281938484,1.978410752364026,1.1280572491056744,0.85,0
Saint Helena,1367.2518890168806,0.0,0.727936527948075,4.882433076407624,0.85,0
West Papua,1482.4161673210301,0.549833997312478,1.47502081252106,4.32514568764742,0.85,0
East Turkestan,1464.7562804014967,1.090900589030505,2.808014499735221,3.3424152694296074,0.85,0
Yoruba Nation,1482.0280704338224,0.4501660026875221,0.47502081252106,1.0,0.85,0
Biafra,1517.6358728671842,2.1920775024667867,0.6993903946442727,0.3006096053557273,0.85,0
Mapuche,1503.4716616652122,1.6495019919374339,1.57493756243682,1.0,0.85,0
Maule Sur,1531.8720366446719,3.0000000000000004,1.0,0.0,0.85,0
Aymara,1464.656301690116,0.0,0.47502081252106,1.9500416250421202,0.85,0
Elba Island,1508.7444087825093,3.0,5.0,0.0,0.85,0
Ticino,1447.824899487245,0.0,1.0,6.42506243756318,0.85,0
Hmong,1468.0858019513203,0.9867987668667201,2.0282903687776614,3.332224993533347,0.85,0
Marshall Islands,1426.082840031416,0.0,1.04995837495788,3.47502081252106,0.85,0
